ID Earthquake;Flag Tsunami;Year;Month;Day;Ms Magnitude;Ml Magnitude;Country;Location name;Earthquake : Deaths;Earthquake : Deaths Description;Earthquake : Damage (in M$);ICoordinates
2946;No;1911;12.0;16.0;7.6;0.0;MEXICO;MEXICO:  NEAR COAST OF GUERRERO;0.0;No deaths reported;0.0;17.0, -100.7
2974;No;1913;3.0;24.0;5.8;0.0;IRAN;IRAN:  TEYHAN;11.0;Few (~1 to 50 deaths);0.0;26.8, 53.7
3041;Yes;1915;11.0;1.0;7.8;0.0;JAPAN;JAPAN:  NEAR E COAST HONSHU;0.0;No deaths reported;0.0;38.3, 142.9
3060;No;1916;8.0;28.0;7.7;0.0;NEPAL;"NEPAL; TIBET (XIZANG PROVINCE)";0.0;No deaths reported;0.0;30.0, 81.0
3091;No;1917;7.0;31.0;7.5;0.0;CHINA;CHINA:  JILIN PROVINCE;0.0;No deaths reported;0.0;42.5, 131.0
3165;Yes;1920;12.0;16.0;8.6;0.0;CHINA;CHINA:  GANSU PROVINCE, SHANXI PROVINCE;200000.0;Very Many (~1001 or more deaths);25.0;36.601, 105.317
3180;Yes;1921;11.0;11.0;7.5;0.0;PHILIPPINES;PHILIPPINES:  MINDANAO:  E;0.0;No deaths reported;0.0;8.0, 127.0
10465;No;1923;9.0;9.0;7.1;0.0;BANGLADESH;BANGLADESH:  MYMENSINGH;50.0;Few (~1 to 50 deaths);0.0;24.969, 90.752
6300;Yes;1926;9.0;16.0;6.9;0.0;SOLOMON ISLANDS;SOLOMON ISLANDS;0.0;No deaths reported;0.0;-9.674, 159.519
3363;No;1928;4.0;18.0;7.0;0.0;BULGARIA;BULGARIA:  POPOVITSA;0.0;Many (~101 to 1000 deaths);0.0;42.1, 25.0
6077;Yes;1928;4.0;27.0;6.8;0.0;PERU;PERU:  ESQUILAYA;0.0;No deaths reported;0.0;-13.0, -69.5
6086;Yes;1930;7.0;19.0;6.5;0.0;INDONESIA;S. JAVA SEA;0.0;No deaths reported;0.0;-9.3, 114.3
6093;Yes;1931;3.0;18.0;7.1;0.0;CHILE;CHILE:  CENTRAL;0.0;No deaths reported;0.0;-32.5, -72.0
3496;Yes;1932;6.0;18.0;7.8;0.0;MEXICO;MEXICO:  CENTRAL, COLIMA;0.0;No deaths reported;0.0;19.081, -103.631
3819;No;1946;2.0;12.0;5.6;0.0;ALGERIA;ALGERIA:  HODNA MOUNTAINS;264.0;Many (~101 to 1000 deaths);0.0;35.75, 5.0
3878;No;1948;5.0;25.0;7.3;0.0;CHINA;CHINA:  SICHUAN PROVINCE;800.0;Many (~101 to 1000 deaths);0.0;29.5, 100.5
3943;No;1950;6.0;19.0;6.5;0.0;INDONESIA;INDONESIA:  JAVA:  GRESIK;16.0;Few (~1 to 50 deaths);0.0;-6.0, 113.0
6362;Yes;1950;10.0;23.0;7.1;0.0;GUATEMALA;GUATEMALA:  SAN MARCOS;0.0;No deaths reported;0.0;14.31, -91.917
4020;Yes;1953;4.0;23.0;7.5;0.0;PAPUA NEW GUINEA;PAPUA NEW GUINEA:  SOLOMON ISLANDS;0.0;No deaths reported;0.013;-4.449, 152.868
8041;No;1955;4.0;15.0;7.0;0.0;CHINA;CHINA:  XINJIANG PROVINCE;0.0;No deaths reported;0.0;39.9, 74.6
8058;No;1961;3.0;7.0;4.9;0.0;CHINA;CHINA:  HUBEI PROVINCE;0.0;No deaths reported;0.0;30.5, 110.0
8061;No;1961;6.0;27.0;6.0;0.0;CHINA;CHINA:   YUNNAN PROVINCE;0.0;No deaths reported;0.0;27.73, 99.75
8062;No;1961;10.0;1.0;5.7;0.0;CHINA;CHINA:  GANSU PROVINCE;0.0;No deaths reported;0.0;34.33, 104.78
8066;No;1962;8.0;19.0;6.4;0.0;CHINA;CHINA:  XINJIANG;0.0;No deaths reported;0.0;44.68, 81.58
4285;No;1963;2.0;21.0;5.4;0.0;LIBYA;LIBYA:  BARCE (AL MARJ);300.0;Many (~101 to 1000 deaths);5.0;32.6, 21.0
6416;Yes;1965;8.0;11.0;7.3;0.0;VANUATU;VANUATU ISLANDS;0.0;No deaths reported;0.0;-15.8, 167.2
